0.001,129.7268723047481,118.86367596639211,108.13368392059496,97.51614094365463,86.99050932419998,140.0,139.99752445041514,50.0,50.008913895805
0.002,134.6028077597575,121.22328661365593,110.32874840477692,99.43514726265619,88.54221655460503,140.0,139.99869939625515,50.0,50.00929139715474
0.003,134.40676750384168,120.910189029882,110.06763146124793,99.22377432142302,88.37864122735118,140.0,139.9986521560224,50.0,50.009251948139905
0.004,135.00200585703772,127.50216171083675,114.40469268283888,101.53251809830736,90.1783572782292,140.0,139.99879559505064,50.0,50.009685981808296
0.005,134.98592350082905,130.1255293771213,122.37363367246815,111.4338079186304,98.18662868520816,140.0,139.9987917195684,50.0,50.01168259417878
0.006,131.522764948066,126.62846940737772,119.29760673764265,109.90021668295067,98.41657284105457,140.0,139.99795717721892,50.0,50.01189200781007
0.007,125.12595568450159,120.73228120769085,113.33918732008054,104.07231847177155,93.26586902158698,140.0,139.9964156950597,50.0,50.01068918623883
0.007,125.12595568450159,120.73228120769085,113.33918732008054,104.07231847177155,93.26586902158698,140.0,139.9964156950597,50.0,50.01068918623883
0.007,125.12595568450159,120.73228120769085,113.33918732008054,104.07231847177155,93.26586902158698,140.0,139.9964156950597,50.0,50.01068918623883
0.008,122.1456243266259,117.017905719265,111.31113521764019,102.38251081377399,91.86769929060159,140.0,139.99569750598832,50.0,50.010365916163494
0.009000000000000001,116.57651991100498,109.816355110741,102.997500122309,96.02647834569844,88.48463541283283,140.0,139.99435548652295,50.0,50.009560001640615
0.010000000000000002,112.18285561441525,104.12400558857604,96.0055718788311,87.82606953861581,79.57745180276423,140.0,139.99329672192636,50.0,50.007328618013915
0.011000000000000003,112.11805679118245,104.04050543769114,95.90379700414225,87.70661448565434,79.4475916845424,140.0,139.99328110702425,50.0,50.00729532473409
0.012000000000000004,112.11800589927078,104.04044345202853,95.90372903263882,87.70654708181101,79.44753261474146,140.0,139.99328109476056,50.0,50.00729530970102
0.013000000000000005,112.11800585574713,104.04044339719266,95.90372896858644,87.70654701215392,79.44753254700011,140.0,139.99328109475007,50.0,50.007295309683705
0.014000000000000005,112.1180058556552,104.0404433970742,95.90372896844273,87.7065470119899,79.44753254683266,140.0,139.99328109475005,50.0,50.007295309683656
0.015000000000000006,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.016000000000000007,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.017000000000000008,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.01800000000000001,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.01900000000000001,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.02000000000000001,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.02100000000000001,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.022000000000000013,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.023000000000000013,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.024000000000000014,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.025000000000000015,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.026000000000000016,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.027000000000000017,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.028000000000000018,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.02900000000000002,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
0.03000000000000002,112.11800585565494,104.04044339707386,95.90372896844231,87.70654701198941,79.44753254683216,140.0,139.99328109475005,50.0,50.007295309683656
